user_id,username,has_recent_events,repos_starred,recent_push_events,commits,prs_merged,activity_date
120,afarnham,True,70,0,0,0,2026-09-15T18:05:51Z
121,up_the_irons,False,0,0,0,0,
122,cristibalan,False,0,0,0,0,
123,heavysixer,True,170,0,0,0,2026-09-05T01:02:59Z
124,brosner,False,0,0,0,0,
125,danielmorrison,True,31,0,0,0,2026-09-03T15:55:18Z
126,danielharan,False,0,0,0,0,
127,kvnsmth,False,0,0,0,0,
128,collectiveidea,False,0,0,0,0,
129,canadaduane,True,870,0,0,0,2026-09-16T04:37:59Z
130,corasaurus-hex,True,1107,0,0,0,2026-09-15T05:44:30Z
131,dstrelau,True,341,0,0,0,2026-09-14T17:14:32Z
132,sunny,True,704,0,0,0,2026-09-16T14:29:38Z
133,dkubb,True,135,0,0,0,2026-09-16T16:55:35Z
134,jnicklas,False,0,0,0,0,
135,richcollins,False,0,0,0,0,
136,simonjefford,False,0,0,0,0,
1,mojombo,False,0,0,0,0,
2,defunkt,False,0,0,0,0,
3,pjhyett,False,0,0,0,0,
4,wycats,True,256,0,0,0,2026-09-15T18:36:47Z
5,ezmobius,False,0,0,0,0,
6,ivey,True,61,0,0,0,2026-08-23T23:02:17Z
7,evanphx,True,148,0,0,0,2026-09-16T15:55:04Z
17,vanpelt,True,761,0,0,0,2026-09-14T14:59:30Z
18,wayneeseguin,True,236,0,0,0,2026-09-14T22:17:09Z
19,brynary,True,1652,0,0,0,2026-09-16T14:23:08Z
20,kevinclark,True,25,0,0,0,2026-09-15T02:08:00Z
21,technoweenie,False,0,0,0,0,
22,macournoyer,True,330,0,0,0,2026-09-14T23:22:13Z
23,takeo,False,0,0,0,0,
25,caged,True,1379,0,0,0,2026-09-05T12:41:43Z
26,topfunky,True,1002,0,0,0,2026-09-16T01:46:57Z
27,anotherjesse,False,0,0,0,0,
28,roland,False,0,0,0,0,
29,lukas,True,82,0,0,0,2026-09-15T04:19:34Z
30,fanvsfan,False,0,0,0,0,
31,tomtt,False,0,0,0,0,
